,score,time,samples,fmin,fmax,thres,n_dr,subject,session,channels,n_sessions,dataset,pipeline,FreqBand
6,0.54444444,18.303774,240.0,8.0,12.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,alpha
7,0.6095,13.685186,200.0,8.0,12.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,alpha
8,0.551,15.340093,200.0,8.0,12.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,alpha
9,0.449,14.96109,200.0,8.0,12.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,alpha
10,0.752,10.516317,200.0,8.0,12.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,alpha
11,0.601,14.749386,200.0,8.0,12.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,alpha
12,0.6405,9.879591,200.0,8.0,12.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,alpha
13,0.4605,12.460115,200.0,8.0,12.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,alpha
14,0.529,11.152767,200.0,8.0,12.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,alpha
15,0.543,10.875026,200.0,8.0,12.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,alpha
16,0.6107639,12.922347,240.0,8.0,12.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,alpha
17,0.552,9.8514805,200.0,8.0,12.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,alpha
18,0.4865,10.660369,200.0,8.0,12.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,alpha
19,0.5125,9.483013,200.0,8.0,12.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,alpha
20,0.8795,10.660238,200.0,8.0,12.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,alpha
21,0.7,9.72314,200.0,8.0,12.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,alpha
22,0.648,10.719175,200.0,8.0,12.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,alpha
23,0.6185,11.428171,200.0,8.0,12.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,alpha
24,0.7085,11.450593,200.0,8.0,12.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,alpha
25,0.5865,11.241965,200.0,8.0,12.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,alpha
26,0.5173611,12.022504,240.0,8.0,12.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,alpha
27,0.488,9.910195,200.0,8.0,12.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,alpha
28,0.4875,12.506543,200.0,8.0,12.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,alpha
29,0.4885,13.716528,200.0,8.0,12.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,alpha
30,0.8105,6.41232,200.0,8.0,12.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,alpha
31,0.6195,5.490933,200.0,8.0,12.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,alpha
32,0.4945,6.3741903,200.0,8.0,12.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,alpha
33,0.6555,6.3407264,200.0,8.0,12.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,alpha
34,0.556,6.695732,200.0,8.0,12.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,alpha
35,0.5555,5.95326,200.0,8.0,12.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,alpha
36,0.46493056,6.805214,240.0,8.0,12.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,alpha
37,0.5835,5.7325544,200.0,8.0,12.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,alpha
38,0.524,7.0954742,200.0,8.0,12.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,alpha
39,0.5405,4.3212543,200.0,8.0,12.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,alpha
40,0.7135,13.788771,200.0,8.0,12.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,alpha
41,0.527,14.675756,200.0,8.0,12.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,alpha
42,0.4225,10.77591,200.0,8.0,12.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,alpha
43,0.431,11.119957,200.0,8.0,12.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,alpha
44,0.5405,12.695961,200.0,8.0,12.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,alpha
45,0.509,10.85654,200.0,8.0,12.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,alpha
46,0.5381944,12.560316,240.0,8.0,12.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,alpha
47,0.417,14.15313,200.0,8.0,12.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,alpha
48,0.4995,12.824998,200.0,8.0,12.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,alpha
49,0.5555,12.916927,200.0,8.0,12.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,alpha
50,0.9705,2.9849815,200.0,8.0,12.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,alpha
51,0.8395,3.2021146,200.0,8.0,12.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,alpha
52,0.678,3.417442,200.0,8.0,12.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,alpha
53,0.8695,3.228031,200.0,8.0,12.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,alpha
54,0.749,3.1530988,200.0,8.0,12.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,alpha
55,0.648,3.243005,200.0,8.0,12.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,alpha
56,0.51840276,3.8701773,240.0,8.0,12.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,alpha
57,0.4645,3.252079,200.0,8.0,12.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,alpha
58,0.4335,3.831609,200.0,8.0,12.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,alpha
59,0.5935,2.8924096,200.0,8.0,12.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,alpha
0,0.578,14.408204,200.0,15.0,30.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,beta
1,0.419,12.150762,200.0,15.0,30.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,beta
2,0.522,12.56643,200.0,15.0,30.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,beta
